p_k,country_id,country_name,data_short,data_desc,year,pop_value
0,AD,Andorra,AVG,Average population - total,1960-01-01,
1,AL,Albania,AVG,Average population - total,1960-01-01,
2,AM,Armenia,AVG,Average population - total,1960-01-01,
3,AT,Austria,AVG,Average population - total,1960-01-01,
4,AZ,Azerbaijan,AVG,Average population - total,1960-01-01,
5,BA,Bosnia and Herzegovina,AVG,Average population - total,1960-01-01,
6,BE,Belgium,AVG,Average population - total,1960-01-01,
7,BG,Bulgaria,AVG,Average population - total,1960-01-01,
8,BY,Belarus,AVG,Average population - total,1960-01-01,
9,CH,Switzerland,AVG,Average population - total,1960-01-01,
10,CY,Cyprus,AVG,Average population - total,1960-01-01,
11,CZ,Czech Republic,AVG,Average population - total,1960-01-01,
12,DE,Germany,AVG,Average population - total,1960-01-01,
13,DE,Germany,AVG,Average population - total,1960-01-01,
14,DK,Denmark,AVG,Average population - total,1960-01-01,
15,EA19,Euro Area (19 countries),AVG,Average population - total,1960-01-01,
16,EA20,Euro Area (20 countries),AVG,Average population - total,1960-01-01,
17,EE,Estonia,AVG,Average population - total,1960-01-01,
18,EEA31,European Economic Area (31 countries),AVG,Average population - total,1960-01-01,
19,EFTA,European Free Trade Association,AVG,Average population - total,1960-01-01,
20,EL,Greece,AVG,Average population - total,1960-01-01,
21,ES,Spain,AVG,Average population - total,1960-01-01,
22,EU27,European Union (27 countries),AVG,Average population - total,1960-01-01,
23,EU28,European Union (28 countries),AVG,Average population - total,1960-01-01,
24,FI,Finland,AVG,Average population - total,1960-01-01,
25,FR,France,AVG,Average population - total,1960-01-01,
26,FX,Metropolitan France,AVG,Average population - total,1960-01-01,
27,GE,Georgia,AVG,Average population - total,1960-01-01,
28,HR,Croatia,AVG,Average population - total,1960-01-01,
29,HU,Hungary,AVG,Average population - total,1960-01-01,
30,IE,Ireland,AVG,Average population - total,1960-01-01,
31,IS,Iceland,AVG,Average population - total,1960-01-01,
32,IT,Italy,AVG,Average population - total,1960-01-01,
33,LI,Liechtenstein,AVG,Average population - total,1960-01-01,
34,LT,Lithuania,AVG,Average population - total,1960-01-01,
35,LU,Luxembourg,AVG,Average population - total,1960-01-01,
36,LV,Latvia,AVG,Average population - total,1960-01-01,
37,MC,Monaco,AVG,Average population - total,1960-01-01,
38,MD,Moldova,AVG,Average population - total,1960-01-01,
39,ME,Montenegro,AVG,Average population - total,1960-01-01,
40,MK,North Macedonia,AVG,Average population - total,1960-01-01,
