p_k,country_id,ext_int,imp_exp,year,trade_value
0,AT,EXTRA,IMPORT,d2020,34868782345
1,AT,EXTRA,EXPORT,d2020,46470094565
2,AT,INTRA,IMPORT,d2020,116065916062
3,AT,INTRA,EXPORT,d2020,101817904076
4,AT,WORLD,IMPORT,d2020,150934698407
5,AT,WORLD,EXPORT,d2020,148287998641
6,BE,EXTRA,IMPORT,d2020,135171653839
7,BE,EXTRA,EXPORT,d2020,130393427650
8,BE,INTRA,IMPORT,d2020,213226901117
9,BE,INTRA,EXPORT,d2020,238856379346
10,BE,WORLD,IMPORT,d2020,348398554956
11,BE,WORLD,EXPORT,d2020,369249806996
12,BG,EXTRA,IMPORT,d2020,11944466118
13,BG,EXTRA,EXPORT,d2020,9639201365
14,BG,INTRA,IMPORT,d2020,18704352552
15,BG,INTRA,EXPORT,d2020,18327673975
16,BG,WORLD,IMPORT,d2020,30648818670
17,BG,WORLD,EXPORT,d2020,27966875340
18,CY,EXTRA,IMPORT,d2020,3230467931
19,CY,EXTRA,EXPORT,d2020,1782531276
20,CY,INTRA,IMPORT,d2020,4427249790
21,CY,INTRA,EXPORT,d2020,914376001
22,CY,WORLD,IMPORT,d2020,7657717721
23,CY,WORLD,EXPORT,d2020,2696907277
24,CZ,EXTRA,IMPORT,d2020,40533466011
25,CZ,EXTRA,EXPORT,d2020,33971730848
26,CZ,INTRA,IMPORT,d2020,109031087436
27,CZ,INTRA,EXPORT,d2020,133625655960
28,CZ,WORLD,IMPORT,d2020,149564553447
29,CZ,WORLD,EXPORT,d2020,167597386808
30,DE,EXTRA,IMPORT,d2020,378449499703
31,DE,EXTRA,EXPORT,d2020,573169962144
32,DE,INTRA,IMPORT,d2020,647041265946
33,DE,INTRA,EXPORT,d2020,636037726308
34,DE,WORLD,IMPORT,d2020,1025490765649
35,DE,WORLD,EXPORT,d2020,1209207688452
36,DK,EXTRA,IMPORT,d2020,26672365037
37,DK,EXTRA,EXPORT,d2020,45823358319
38,DK,INTRA,IMPORT,d2020,59334630590
39,DK,INTRA,EXPORT,d2020,49204166230
40,DK,WORLD,IMPORT,d2020,86006995627
41,DK,WORLD,EXPORT,d2020,95027524549
42,EE,EXTRA,IMPORT,d2020,3759479343
43,EE,EXTRA,EXPORT,d2020,4824975405
44,EE,INTRA,IMPORT,d2020,11380273624
45,EE,INTRA,EXPORT,d2020,9448516774
46,EE,WORLD,IMPORT,d2020,15139752967
47,EE,WORLD,EXPORT,d2020,14273492179
48,ES,EXTRA,IMPORT,d2020,123402773530
49,ES,EXTRA,EXPORT,d2020,104380805113
50,ES,INTRA,IMPORT,d2020,161812587806
51,ES,INTRA,EXPORT,d2020,165140152225
52,ES,WORLD,IMPORT,d2020,285215361336
53,ES,WORLD,EXPORT,d2020,269520957338
54,EU,EXTRA,IMPORT,d2020,1717438620633
55,EU,EXTRA,EXPORT,d2020,1932726649757
56,EU,INTRA,IMPORT,d2020,2792943855565
57,EU,INTRA,EXPORT,d2020,2855438582055
58,FI,EXTRA,IMPORT,d2020,16960010810
59,FI,EXTRA,EXPORT,d2020,26494392080
60,FI,INTRA,IMPORT,d2020,42797289653
61,FI,INTRA,EXPORT,d2020,31380070230
62,FI,WORLD,IMPORT,d2020,59757300463
63,FI,WORLD,EXPORT,d2020,57874462310
64,FR,EXTRA,IMPORT,d2020,172223182391
65,FR,EXTRA,EXPORT,d2020,198404292667
66,FR,INTRA,IMPORT,d2020,336276157915
67,FR,INTRA,EXPORT,d2020,228831891486
68,FR,WORLD,IMPORT,d2020,508499340306
69,FR,WORLD,EXPORT,d2020,427236184153
70,GR,EXTRA,IMPORT,d2020,20978784512
71,GR,EXTRA,EXPORT,d2020,13096625843
72,GR,INTRA,IMPORT,d2020,27975024496
73,GR,INTRA,EXPORT,d2020,17704053535
74,GR,WORLD,IMPORT,d2020,48953809008
75,GR,WORLD,EXPORT,d2020,30800679378
76,HR,EXTRA,IMPORT,d2020,5383786752
77,HR,EXTRA,EXPORT,d2020,4906908263
78,HR,INTRA,IMPORT,d2020,18093838436
79,HR,INTRA,EXPORT,d2020,10115664033
80,HR,WORLD,IMPORT,d2020,23477625188
81,HR,WORLD,EXPORT,d2020,15022572296
82,HU,EXTRA,IMPORT,d2020,29804023217
83,HU,EXTRA,EXPORT,d2020,22775132836
84,HU,INTRA,IMPORT,d2020,71612443087
85,HU,INTRA,EXPORT,d2020,82653357485
86,HU,WORLD,IMPORT,d2020,101416466304
87,HU,WORLD,EXPORT,d2020,105428490321
88,IE,EXTRA,IMPORT,d2020,54154622282
89,IE,EXTRA,EXPORT,d2020,93880792963
90,IE,INTRA,IMPORT,d2020,33046099462
91,IE,INTRA,EXPORT,d2020,63947535657
92,IE,WORLD,IMPORT,d2020,87200721744
93,IE,WORLD,EXPORT,d2020,157828328620
94,IT,EXTRA,IMPORT,d2020,155541660882
95,IT,EXTRA,EXPORT,d2020,211925021478
96,IT,INTRA,IMPORT,d2020,217886688499
97,IT,INTRA,EXPORT,d2020,224792816532
98,IT,WORLD,IMPORT,d2020,373428349381
99,IT,WORLD,EXPORT,d2020,436717838010
100,LT,EXTRA,IMPORT,d2020,8502613707
101,LT,EXTRA,EXPORT,d2020,12618654503
102,LT,INTRA,IMPORT,d2020,20624490034
103,LT,INTRA,EXPORT,d2020,16029509266
104,LT,WORLD,IMPORT,d2020,29127103741
105,LT,WORLD,EXPORT,d2020,28648163769
106,LU,EXTRA,IMPORT,d2020,2039185445
107,LU,EXTRA,EXPORT,d2020,2377523938
108,LU,INTRA,IMPORT,d2020,16465161088
109,LU,INTRA,EXPORT,d2020,9735767267
110,LU,WORLD,IMPORT,d2020,18504346533
111,LU,WORLD,EXPORT,d2020,12113291205
112,LV,EXTRA,IMPORT,d2020,3847116477
113,LV,EXTRA,EXPORT,d2020,5444561523
114,LV,INTRA,IMPORT,d2020,12255703717
115,LV,INTRA,EXPORT,d2020,8821509405
116,LV,WORLD,IMPORT,d2020,16102820194
117,LV,WORLD,EXPORT,d2020,14266070928
118,MT,EXTRA,IMPORT,d2020,1987137871
119,MT,EXTRA,EXPORT,d2020,1224719167
120,MT,INTRA,IMPORT,d2020,3034855302
121,MT,INTRA,EXPORT,d2020,1254634782
122,MT,WORLD,IMPORT,d2020,5021993173
123,MT,WORLD,EXPORT,d2020,2479353949
124,NL,EXTRA,IMPORT,d2020,303680269948
125,NL,EXTRA,EXPORT,d2020,201831949243
126,NL,INTRA,IMPORT,d2020,217083456102
127,NL,INTRA,EXPORT,d2020,388401204693
128,NL,WORLD,IMPORT,d2020,520763726050
129,NL,WORLD,EXPORT,d2020,590233153936
130,PL,EXTRA,IMPORT,d2020,73768119543
131,PL,EXTRA,EXPORT,d2020,62136766367
132,PL,INTRA,IMPORT,d2020,154883420872
133,PL,INTRA,EXPORT,d2020,177076958350
134,PL,WORLD,IMPORT,d2020,228651540415
135,PL,WORLD,EXPORT,d2020,239213724717
136,PT,EXTRA,IMPORT,d2020,17257660169
137,PT,EXTRA,EXPORT,d2020,15387479915
138,PT,INTRA,IMPORT,d2020,50887907803
139,PT,INTRA,EXPORT,d2020,38369912649
140,PT,WORLD,IMPORT,d2020,68145567972
141,PT,WORLD,EXPORT,d2020,53757392564
142,RO,EXTRA,IMPORT,d2020,21251461819
143,RO,EXTRA,EXPORT,d2020,16004422010
144,RO,INTRA,IMPORT,d2020,59230135782
145,RO,INTRA,EXPORT,d2020,45771222412
146,RO,WORLD,IMPORT,d2020,80481597601
147,RO,WORLD,EXPORT,d2020,61775644422
148,SE,EXTRA,IMPORT,d2020,42286535613
149,SE,EXTRA,EXPORT,d2020,65090881896
150,SE,INTRA,IMPORT,d2020,88892633185
151,SE,INTRA,EXPORT,d2020,71017345992
152,SE,WORLD,IMPORT,d2020,131179168798
153,SE,WORLD,EXPORT,d2020,136108227888
154,SI,EXTRA,IMPORT,d2020,15246482877
155,SI,EXTRA,EXPORT,d2020,12814827117
156,SI,INTRA,IMPORT,d2020,21667069489
157,SI,INTRA,EXPORT,d2020,26432016618
158,SI,WORLD,IMPORT,d2020,36913552366
159,SI,WORLD,EXPORT,d2020,39246843735
160,SK,EXTRA,IMPORT,d2020,14493012461
161,SK,EXTRA,EXPORT,d2020,15855611263
162,SK,INTRA,IMPORT,d2020,59207215720
163,SK,INTRA,EXPORT,d2020,59730560768
164,SK,WORLD,IMPORT,d2020,73700228181
165,SK,WORLD,EXPORT,d2020,75586172031
166,AT,EXTRA,IMPORT,d2021,43879513551
