p_k,country_id,ext_int,imp_exp,month,trade_value
0,AT,EXTRA,IMPORT,d2021_01,2879014095
1,AT,EXTRA,EXPORT,d2021_01,3405482479
2,AT,INTRA,IMPORT,d2021_01,9318662785
3,AT,INTRA,EXPORT,d2021_01,8325118034
4,AT,WORLD,IMPORT,d2021_01,12197676880
5,AT,WORLD,EXPORT,d2021_01,11730600513
6,BE,EXTRA,IMPORT,d2021_01,10491624070
7,BE,EXTRA,EXPORT,d2021_01,10379385996
8,BE,INTRA,IMPORT,d2021_01,19495450579
9,BE,INTRA,EXPORT,d2021_01,20970444383
10,BE,WORLD,IMPORT,d2021_01,29987074649
11,BE,WORLD,EXPORT,d2021_01,31349830379
12,BG,EXTRA,IMPORT,d2021_01,974052333
13,BG,EXTRA,EXPORT,d2021_01,738945419
14,BG,INTRA,IMPORT,d2021_01,1600075973
15,BG,INTRA,EXPORT,d2021_01,1692839604
16,BG,WORLD,IMPORT,d2021_01,2574128306
17,BG,WORLD,EXPORT,d2021_01,2431785023
18,CY,EXTRA,IMPORT,d2021_01,228222570
19,CY,EXTRA,EXPORT,d2021_01,76921275
20,CY,INTRA,IMPORT,d2021_01,376487511
21,CY,INTRA,EXPORT,d2021_01,66795635
22,CY,WORLD,IMPORT,d2021_01,604710081
23,CY,WORLD,EXPORT,d2021_01,143716910
24,CZ,EXTRA,IMPORT,d2021_01,3323402849
25,CZ,EXTRA,EXPORT,d2021_01,2756427152
26,CZ,INTRA,IMPORT,d2021_01,9218647597
27,CZ,INTRA,EXPORT,d2021_01,11751541302
28,CZ,WORLD,IMPORT,d2021_01,12542050446
29,CZ,WORLD,EXPORT,d2021_01,14507968454
30,DE,EXTRA,IMPORT,d2021_01,31079144582
31,DE,EXTRA,EXPORT,d2021_01,44010672039
32,DE,INTRA,IMPORT,d2021_01,53150721440
33,DE,INTRA,EXPORT,d2021_01,55169295663
34,DE,WORLD,IMPORT,d2021_01,84229866022
35,DE,WORLD,EXPORT,d2021_01,99179967702
36,DK,EXTRA,IMPORT,d2021_01,2167961317
37,DK,EXTRA,EXPORT,d2021_01,3728969608
